city,country,date,lat,lng,temp,max temp,humidity,cloudiness,wind_speed_mph
mataura,NZ,1620175024,-46.1927,168.8643,57.99,57.99,52,9,5.01
msowero,TZ,1620175025,-6.5333,37.2,69.33,69.33,91,100,4.36
hilo,US,1620174797,19.7297,-155.09,75.78,82.4,57,20,10.36
saskylakh,RU,1620175026,71.9167,114.0833,29.82,29.82,93,100,8.7
nikolskoye,RU,1620175026,59.7035,30.7861,35.2,35.6,93,75,4.47
marzuq,YE,1620175027,14.4,46.4667,74.34,74.34,64,93,3.56
kutum,SD,1620174734,14.2,24.6667,76.86,76.86,34,13,5.7
gazanjyk,TM,1620175028,39.2446,55.5154,63.86,63.86,64,98,6.06
teeli,RU,1620175029,51.0333,90.2333,41.7,41.7,46,37,4.23
esperance,AU,1620175029,-33.8667,121.9,59.0,59.0,100,90,16.11
chokurdakh,RU,1620175030,70.6333,147.9167,31.5,31.5,97,100,5.28
jamestown,US,1620174822,42.097,-79.2353,58.19,60.01,94,90,8.05
ubinskoye,RU,1620175031,55.3068,79.6802,46.27,46.27,54,100,12.5
constitucion,CL,1620175031,-35.3333,-72.4167,55.45,55.45,86,3,3.6
arraial do cabo,BR,1620175032,-22.9661,-42.0278,71.6,71.6,86,0,4.61
ushuaia,AR,1620175033,-54.8,-68.3,42.8,42.8,87,40,28.77
kawalu,ID,1620175033,-7.3817,108.2082,78.51,78.51,82,89,0.63
hambantota,LK,1620175034,6.1241,81.1185,73.4,73.4,100,20,1.14
cape town,ZA,1620174945,-33.9258,18.4232,57.78,60.01,94,75,9.22
provideniya,RU,1620175035,64.3833,-173.3,32.0,32.0,69,0,2.24
goderich,CA,1620174891,43.7501,-81.7165,42.8,42.8,93,100,13.8
luis correia,BR,1620175037,-2.8792,-41.6669,75.4,75.4,91,100,10.71
punta arenas,CL,1620174923,-53.15,-70.9167,46.2,46.4,81,0,23.02
thompson,CA,1620175025,55.7435,-97.8558,37.4,37.4,56,90,8.05
hobart,AU,1620175038,-42.8794,147.3294,57.78,61.0,67,20,5.75
kruisfontein,ZA,1620175012,-34.0033,24.7314,64.0,64.0,89,90,1.99
tarata,BO,1620175039,-17.6167,-66.0167,65.91,68.0,32,11,16.11
tasiilaq,GL,1620175040,65.6145,-37.6368,24.8,24.8,86,2,9.22
bonavista,CA,1620175040,48.6499,-53.1147,42.8,42.8,65,31,5.75
berestechko,UA,1620175041,50.3605,25.1107,48.0,48.0,66,94,4.0
caravelas,BR,1620175042,-17.7125,-39.2481,73.29,73.29,85,0,5.17
nioro,GM,1620174968,13.35,-15.75,79.07,79.07,34,52,9.64
mar del plata,AR,1620174987,-38.0023,-57.5575,52.81,54.0,76,40,9.22
tuatapere,NZ,1620175043,-46.1333,167.6833,57.99,57.99,52,9,5.01
puerto ayora,EC,1620175044,-0.7393,-90.3518,75.99,75.99,91,18,7.87
half moon bay,US,1620175044,37.4636,-122.4286,57.7,64.4,76,1,11.5
upernavik,GL,1620175045,72.7868,-56.1549,21.09,21.09,83,11,5.88
atuona,PF,1620174805,-9.8,-139.0333,80.19,80.19,77,21,16.71
lasa,IT,1620175046,46.6166,10.7002,46.33,52.0,81,75,5.75
weligama,LK,1620175047,5.9667,80.4167,77.38,77.38,87,100,3.76
iquique,CL,1620175047,-20.2208,-70.1431,64.4,64.4,77,0,12.66
albany,US,1620174908,42.6001,-73.9662,57.88,59.0,82,90,6.91
rock springs,US,1620175048,41.5875,-109.2029,53.26,53.6,26,75,16.11
rikitea,PF,1620175049,-23.1203,-134.9692,78.4,78.4,80,100,9.66
fort nelson,CA,1620175050,58.8053,-122.7002,51.8,51.8,71,75,6.91
longyearbyen,SJ,1620175050,78.2186,15.6401,26.6,26.6,86,75,4.61
scottsbluff,US,1620175051,41.8666,-103.6672,57.4,59.0,44,20,8.05
marsaxlokk,MT,1620175052,35.8419,14.5431,62.76,63.0,82,0,6.91
villeneuve-sur-lot,FR,1620175052,44.5,0.6667,55.8,57.2,72,90,6.91
bredasdorp,ZA,1620175053,-34.5322,20.0403,60.8,60.8,94,99,6.91
cabedelo,BR,1620175054,-6.9811,-34.8339,73.4,73.4,100,0,3.44
kalmunai,LK,1620175054,7.4167,81.8167,79.81,79.81,80,100,3.31
